County,Healthcare Access Index | Antenatal Care Access,Healthcare Access Index | Skilled Delivery,Healthcare Access Index | Postnatal Care,Healthcare Access Index | Geographic Barriers (5km / 30-min Standard),Healthcare Access Index | Financial Barriers (Insurance & OOP),Healthcare Access Index | Health Insurance Coverage,Healthcare Access Index | Tracer Item Utilisation (HRH Proxy),Healthcare Access Index,Population Vulnerability Index | Socioeconomic Deprivation,Population Vulnerability Index | WASH Deficits,Population Vulnerability Index | Demographic Vulnerability,Population Vulnerability Index,Immunization Coverage Index | EPI Routine Vaccines,Immunization Coverage Index | Vaccination Completion,Immunization Coverage Index,Disease Burden Index | Child Nutrition,Disease Burden Index | Infectious Disease Burden,Disease Burden Index,UCS,Cluster,Cluster_label,HDBSCAN_Cluster,Anomaly,Anomaly_score,Predicted_Anomaly,Predicted_Anomaly_label
Nandi,0.1066615956858603,-0.010310355527026598,0.3693398073838365,-0.369343170375765,-0.3140659259150387,-0.50498950064654,0.01819353398647271,-0.10064485934402868,-0.49885298316805027,-0.015473757972520206,-0.24938129082744492,-0.25456934398933845,-0.5868720108774623,0.5686671449678475,-0.009102432954807393,-0.4395670782256643,-0.3267257332615658,-0.383146405743615,45.71267310932065,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.17605624193788033,0,Normal
Narok,-0.3737959452221541,0.8707615052543598,0.6009808470440542,-0.1787748630723016,-0.685651404843338,-0.6278656924932325,0.962517050206107,0.08116735669621354,-0.044960222579270244,0.2858224151209845,-1.218147338553594,-0.3257617153372932,-0.1398417523914754,-0.00010524156562185792,-0.06997349697854863,-0.008381010618996453,0.04797680370017502,0.019797896540589284,52.02155525296605,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.13361218412980191,0,Normal
Nyamira,0.11891181324864324,-0.6156415617293483,-0.7077643774640862,-0.19902794583691963,1.242284848146969,-0.2980401249047428,0.6725279389260618,0.030464370055225294,-0.2999684458623358,0.5611447801891871,0.9134469828402217,0.3915411057223577,-0.46003578195325356,0.3424122746962505,-0.05881175362850152,-0.7216495262762852,-0.34389580076338927,-0.5327726635198372,58.9702336584209,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.13099942959560007,0,Normal
Nyandarua,0.20200428576586912,-0.521733836959511,-0.495709402739565,-0.05135421548496122,-0.22251588038197928,-0.22690127699349988,0.9996951413958564,-0.04521645505682729,-0.7697660017635781,0.14036909017929267,0.7740842909047418,0.04822912644015213,-0.5930571766986678,0.7311882489657557,0.06906553613354399,-0.4082939744353561,-0.9070765869378703,-0.6576852806866131,49.589715691078915,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.12435327799627399,0,Normal
Nyeri,0.9177178893900269,-1.305589800259973,-0.4137237716374274,-0.4022738295186765,-1.0033839158110143,-1.151706299839657,0.8509827766368588,-0.35828242157712314,-0.5870519181676825,-0.9453360852783372,1.174195456081299,-0.11939751578824025,0.1441197528591838,-0.18403938196629263,-0.019959814553554417,-1.689228432559881,-0.6628530965392991,-1.17604076454959,34.99187107415823,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.06644313651638839,0,Normal
Samburu,-0.7831330193698925,1.9784426333142489,1.2829164352572224,0.9778201156608212,1.2261289577587815,0.7690425937639002,0.3602319729321671,0.8302070984738927,1.4567476025651542,0.7533509595764231,-0.9561323818027043,0.4179887267796243,0.5966892919250775,-0.658689817920038,-0.031000262997480266,2.0636604497945346,-0.21254582465210797,0.9255573125712133,89.90806456658238,0,Cluster 1: Structurally Underserved — ASAL and Remote Counties,-1,Normal,0.05803876169879901,0,Normal
Siaya,0.13641838213917085,-0.7749531449610416,-0.5888415504961929,-0.06689697366016747,0.7845346204816728,0.5556260500301717,-1.0525354922783092,-0.14380687267781367,-0.0767256912302887,0.6494557274752145,1.0462614902772898,0.5396638421740718,-0.4584038444401383,0.4639018440535663,0.002748999806714003,0.13962533423873433,-0.8026301785445633,-0.3315024221529145,60.915400198054414,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.15838828626217544,0,Normal
Taita Taveta,0.07828283283969227,-0.6283306176191603,-0.7942993594772643,-0.47792778903057853,-0.4002306746520357,-0.5825955165497142,-0.9558724551849609,-0.5372819399534317,-0.5984622486386959,0.10920052054892965,0.9670256042738441,0.15925462539469262,-0.28162223576367734,0.2905080990690366,0.004442931652679616,-0.20945851436598248,-0.21266543371230642,-0.21106197403914445,47.75351749600455,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.14282686056298577,0,Normal
Tana River,-0.6430248323941145,1.9200425980441385,1.381483435370789,2.6433130688794684,1.7700439341610754,1.325219041069981,-0.7997244721880136,1.085336110420475,1.0166974272238924,0.8572461916776317,-0.7586735131818965,0.3717567019065426,0.4544932553801911,-0.2687673903902047,0.0928629324949932,0.7044686745291152,1.0353126145317864,0.8698906445304508,93.02098795046105,0,Cluster 1: Structurally Underserved — ASAL and Remote Counties,-1,Anomaly,-0.003601130975885436,1,Anomaly
Tharaka-Nithi,0.4493868223768901,-0.6766455896543936,-0.3483565417982818,0.3878304615258954,0.3698667671848748,-0.9770927640575157,0.6799635571640117,-0.016435326751217012,-0.33428652502219286,0.21309575265013822,1.1646003366872266,0.34780318810505734,-0.6480193601686594,0.7311882489657557,0.04158444439854819,-0.18247456478254093,0.5622172045467831,0.1898713198821211,65.21217484682022,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.15963933733136804,0,Normal
Trans-Nzoia,0.26724257007502195,-0.30706773694847855,-0.5141623670040605,-0.5362955512619857,0.5152697806785569,-0.5114566686384713,0.6725279389260618,-0.059134576310479345,-0.48952685508343763,0.2182905142551991,-0.6963067246247228,-0.3225143551509871,-0.4394288969798157,0.17989117069834235,-0.12976886314073666,0.15910823655891368,-0.08087999282696945,0.039114121865972115,49.75656601351285,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.0627434776034721,0,Normal
Turkana,-0.281784653732541,2.1070161425875225,1.2762390968877393,0.8909742917056691,-0.7018072952315252,0.5491588820382405,-1.654820569552249,0.3121394135289795,2.5736877494355155,0.8676357148877527,-0.4303845097945058,1.0036463181762543,0.28910619237523494,-0.5006445974661491,-0.10576920254545708,1.7854960127061257,0.8876635004667934,1.3365797565864597,96.42214477057583,0,Cluster 1: Structurally Underserved — ASAL and Remote Counties,-1,Anomaly,-0.06228573741064558,1,Anomaly
Uasin Gishu,0.2997600977547099,-0.500962463240722,0.12620195992789113,-0.7274569120769052,-1.0949339613440736,-0.880085244178548,0.7394485030676107,-0.2911468600128625,-0.8313154280094486,-1.1427370262706333,-1.1311014300192677,-1.0350512947664499,-0.36813719674455025,0.45792388086350394,0.04489334205947684,-0.3109457499982165,0.38097927596605635,0.035016762983919925,31.7205945219169,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.0734973169805298,0,Normal
Vihiga,0.7316987521396197,-0.31993799035386433,-1.130247839879334,-0.25848747417801676,0.892240556402919,0.21286614645781948,0.4643306282634653,0.08463753983608689,-0.254116039233837,0.6806242971055768,2.0339630457478717,0.8201571012065371,-0.7045389986356569,0.7630551321026005,0.029258066733471755,-0.3655012225852834,0.022379630304368476,-0.17156079614045747,72.23838524357124,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.12461506580941828,0,Normal
Wajir,-2.1054353884965,2.132709351965437,2.6774346956470656,0.5846536697936142,1.3553760808642774,2.5669152955207655,-0.06359826663097576,1.021150776951955,1.7358078345465897,0.8936095229130548,-0.343909816199668,0.761835847086659,0.8832892177990558,-0.9104779817527017,-0.013594381976822945,0.2828646151211478,1.5629664804406513,0.9229155477808996,100.0,0,Cluster 1: Structurally Underserved — ASAL and Remote Counties,-1,Normal,0.01845169058651841,0,Normal
West Pokot,-0.6954083543973255,1.54643483615546,0.5068911357479736,0.16266141259606123,-0.21713058358591728,1.325219041069981,0.7840622124953099,0.4875328142973632,0.9849666357697346,0.8001038140219673,-0.8041144681783904,0.3269853272044371,0.6797450017509377,-0.8309768966958306,-0.07561594747244649,2.0739050064275335,-0.774975290338676,0.6494648580444288,78.92530017102864,0,Cluster 1: Structurally Underserved — ASAL and Remote Counties,-1,Normal,0.07204239779813093,0,Normal
